school_name,county_id,school_county,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_students,total_american_indian_alaskan,total_asian,total_hispanic,total_black,total_white,fte_teachers,student_teacher_ratio,coed,school_type,school_level,religious_affiliation,library,high_grade,low_grade
CHAPEL HILL ACADEMY,27,MORRIS,6,5,-1,1,100,0,0,25,25,50,14,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Kingergarten
CHRISTIAN BROTHERS ACADEMY,25,MONMOUTH,258,245,224,229,956,1,24,37,11,883,63,15,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
NEWARK ACADEMY,13,ESSEX,111,95,96,98,565,0,87,11,39,407,65,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 6
JOSEPH KUSHNER HEBREW ACADEMY RA,13,ESSEX,59,67,-1,55,751,0,0,0,0,736,97,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
THE MILTON SCHOOL,13,ESSEX,2,2,4,9,19,0,0,7,7,5,6,3,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
HORIZON SCHOOL,13,ESSEX,-1,-1,-1,-1,79,0,4,13,23,36,11,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
IMMACULATE CONCEPTION HIGH SCHOOL,3,BERGEN,46,37,45,39,167,0,6,20,5,136,17,10,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
HIGH POINT SCHOOL OF BERGEN COUN,3,BERGEN,6,13,9,9,37,0,0,16,13,8,8,5,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 9
ILAN HIGH SCHOOL,25,MONMOUTH,23,22,20,30,95,0,0,0,95,0,18,5,All-Female,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
CENTER FOR EDUCATION,5,BURLINGTON,3,5,6,4,30,0,0,0,3,26,4,7,Coed,Alternative,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 6
THE PINGRY SCHOOL,35,SOMERSET,135,129,129,144,1027,-1,-1,-1,-1,-1,177,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Kingergarten
BAYTUL-IMAN ACADEMY,23,MIDDLESEX,1,-1,-1,1,56,0,53,0,1,2,9,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 1
DAYTOP PREPARATORY SCHOOL,27,MORRIS,-1,-1,15,45,60,0,0,6,7,45,10,6,Coed,Regular elementary or secondary,Secondary,Nonsectarian,Yes,Grade 12,Grade 11
ST JOSEPH HIGH SCHOOL,23,MIDDLESEX,227,185,191,195,798,0,96,47,43,592,49,16,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
CHILDREN FIRST CHRISTIAN MONTESS,23,MIDDLESEX,-1,-1,-1,-1,33,0,28,1,1,3,3,10,Coed,Montessori,Combined elementary and secondary,Other religious,No,All Ungraded,All Ungraded
SOMERSET HILLS SCHOOL,35,SOMERSET,-1,-1,-1,-1,95,0,5,15,0,25,20,5,All-Male,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
NOOR-UL-IMAN SCHOOL,23,MIDDLESEX,15,27,18,14,498,0,268,6,3,147,42,10,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
IMMACULATE CONCEPTION HIGH SCHOOL,13,ESSEX,35,57,45,44,181,0,1,18,149,3,17,11,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
DERON SCHOOL II,13,ESSEX,-1,-1,-1,-1,150,0,2,45,99,4,21,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
THE MONTCLAIR KIMBERLEY ACADEMY,13,ESSEX,109,104,106,97,992,0,68,44,107,678,156,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
ST JOSEPH REGIONAL HIGH SCHOOL,3,BERGEN,138,125,112,109,484,2,11,53,47,352,29,17,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
ST PIUS X ELEMENTARY SCHOOL,27,MORRIS,26,-1,-1,-1,263,0,14,5,1,176,11,17,Coed,Regular elementary or secondary,Combined elementary and secondary,Catholic,Yes,Grade 9,Pre-K
MOORESTOWN FRIENDS SCHOOL,5,BURLINGTON,73,73,75,72,700,0,58,20,60,477,81,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
KINGSWAY LEARNING CENTER-SECONDA,5,BURLINGTON,12,26,14,26,99,0,2,3,9,85,14,7,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
HARBOR BAPTIST ACADEMY,5,BURLINGTON,4,1,3,3,34,0,3,4,5,19,6,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Kingergarten
COASTAL LEARNING CENTER MORGANVI,25,MONMOUTH,8,12,7,8,55,0,0,3,45,7,9,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 3
CPC HIGH POINT SCHOOL,25,MONMOUTH,-1,-1,-1,-1,196,0,4,25,68,99,35,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
VILLA WALSH ACADEMY,27,MORRIS,59,54,54,57,254,0,3,7,1,243,27,10,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 7
SHEPARD HIGH SCHOOL,27,MORRIS,15,15,15,30,84,0,0,9,11,64,15,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 6
DELBARTON SCHOOL,27,MORRIS,120,122,113,118,540,1,35,25,22,451,68,8,All-Male,Regular elementary or secondary,Secondary,Nonsectarian,Yes,Grade 12,Grade 7
SHEPARD ACADEMY,27,MORRIS,10,10,9,9,40,-1,-1,-1,-1,-1,6,7,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
MARY A DOBBINS SCHOOL,5,BURLINGTON,8,20,8,11,62,0,0,10,37,15,10,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 6
GITHENS CENTER-BURLINGTON COUNTY CER,5,BURLINGTON,-1,-1,-1,-1,25,0,1,1,10,13,5,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
HERITAGE CHRISTIAN ACADEMY,5,BURLINGTON,5,6,4,3,87,-1,-1,-1,-1,-1,10,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
THE CRAIG SCHOOL,27,MORRIS,15,7,15,7,145,0,1,2,3,139,37,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 3
CORNERSTONE DAY SCHOOL,39,UNION,3,13,11,12,45,0,0,3,5,36,7,6,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 7
CHILDRENS CENTER OF MONMOUTH COU,25,MONMOUTH,-1,-1,-1,-1,395,0,15,17,62,301,42,10,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
INSTITUTE FOR EDUCATIONAL ACHIEV,3,BERGEN,-1,-1,-1,-1,28,0,0,1,1,23,11,3,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
ST VINCENT ACADEMY,13,ESSEX,81,83,76,70,310,0,11,76,201,16,27,11,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
ST BENEDICT'S PREPARATORY SCHOOL,13,ESSEX,132,113,108,129,554,0,4,119,346,54,40,14,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 7
ALPHA & OMEGA CHRISTIAN SCHOOL,13,ESSEX,1,-1,1,1,29,0,0,24,0,0,3,8,Coed,Special program emphasis,Combined elementary and secondary,Other religious,No,Grade 12,Pre-K
NEW TESTAMENT CHURCH SCHOOL,13,ESSEX,3,3,2,-1,39,0,11,10,18,0,9,4,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 11,Kingergarten
SR CLARA MUHAMMAD SCHOOL,13,ESSEX,-1,-1,-1,-1,4,0,0,0,4,0,-1,-1,Coed,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 8,Grade 7
AL-MUSLIMAAT ACADEMY,13,ESSEX,3,1,2,1,14,-1,-1,-1,-1,-1,4,3,All-Female,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Grade 6
ALIF MUHAMMAD'S NIA SCHOOL,13,ESSEX,4,5,30,130,169,0,0,4,150,15,7,25,Coed,Regular elementary or secondary,Secondary,Nonsectarian,No,Grade 12,Grade 9
DR THOMAS CHRISTIAN ACADEMY,13,ESSEX,1,1,1,1,18,0,0,0,18,0,4,5,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Kingergarten
BETHEL CHRISTIAN ACADEMY,13,ESSEX,14,7,8,7,129,2,0,69,49,9,10,13,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Kingergarten
LINK COMMUNITY SCHOOL,13,ESSEX,-1,-1,-1,-1,135,0,0,7,128,0,12,11,Coed,Regular elementary or secondary,Secondary,Nonsectarian,No,Grade 8,Grade 7
OUR LADY OF MERCY ACADEMY,15,GLOUCESTER,39,40,50,49,178,0,2,2,5,167,22,8,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
QUEEN OF PEACE HIGH SCHOOL,3,BERGEN,109,107,127,174,517,0,70,145,34,268,46,11,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
MARY HELP OF CHRISTIANS ACADEMY,31,PASSAIC,50,63,56,59,314,0,10,155,43,82,27,12,All-Female,Regular elementary or secondary,Combined elementary and secondary,Catholic,Yes,Grade 12,Grade 6
EASTERN CHRISTIAN HIGH SCHOOL,31,PASSAIC,72,73,97,93,335,0,48,26,13,241,30,11,Coed,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
WILDWOOD CATHOLIC HIGH SCHOOL,9,CAPE MAY,37,48,44,65,194,0,6,6,3,174,17,11,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
CENTRAL BIBLE ACADEMY,9,CAPE MAY,-1,1,-1,-1,2,0,0,0,0,2,1,2,Coed,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 10,Grade 8
YALE SCHOOL EAST,1,ATLANTIC,11,6,9,4,49,0,1,3,8,37,9,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 4
ABUNDANT LIFE ACADEMY,13,ESSEX,9,6,6,9,356,0,16,135,73,47,26,11,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
THE PHOENIX CENTER INC,13,ESSEX,-1,-1,-1,-1,146,0,0,29,37,80,16,9,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
BARNSTABLE ACADEMY,3,BERGEN,16,17,25,23,103,0,8,3,5,84,14,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 5
THE NEW JERSEY JAPANESE SCHOOL,3,BERGEN,7,-1,-1,-1,89,0,87,0,0,0,16,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 9,Grade 1
HILLEL YESHIVA SCHOOL,25,MONMOUTH,47,41,45,39,591,0,0,0,0,591,44,13,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Kingergarten
SCHROTH SCHOOL,25,MONMOUTH,8,5,3,9,96,0,1,7,17,30,13,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
FAMILIES UNITED NETWORK ACADEMY,9,CAPE MAY,6,4,1,4,42,0,3,3,0,36,17,2,Coed,Alternative,Combined elementary and secondary,Other religious,Yes,Grade 12,Kingergarten
CALVARY CHRISTIAN SCHOOL,23,MIDDLESEX,18,-1,-1,-1,229,0,14,17,13,170,17,13,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 9,Pre-K
BERGEN CATHOLIC HIGH SCHOOL,3,BERGEN,175,182,191,190,738,4,97,59,31,542,43,17,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
THE LAKESIDE SCHOOL,13,ESSEX,1,3,8,10,22,0,0,6,10,6,2,11,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 9
PARAMUS CATHOLIC HIGH SCHOOL,3,BERGEN,342,389,418,402,1551,2,189,345,141,683,106,15,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
THE FRISCH SCHOOL,3,BERGEN,153,169,162,166,650,0,0,0,0,650,81,8,Coed,Alternative,Secondary,Other religious,Yes,Grade 12,Grade 9
PALISADES REGIONAL CENTER,3,BERGEN,12,9,13,20,58,0,3,13,16,26,9,6,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 8
EDUCATIONAL PARTNERSHIP FOR INST,3,BERGEN,-1,-1,-1,-1,24,0,1,1,0,18,25,1,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Pre-K,Pre-K
ALPINE LEARNING GROUP INC,3,BERGEN,-1,-1,-1,-1,29,0,1,8,0,20,8,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
DAVID GREGORY SCHOOL INC,3,BERGEN,-1,-1,-1,-1,34,0,3,15,4,12,12,3,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
PARSIPPANY CHRISTIAN SCHOOL,27,MORRIS,21,8,20,10,202,0,47,48,48,51,14,14,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
COLLEGIATE SCHOOL,31,PASSAIC,12,8,8,8,133,-1,-1,-1,-1,-1,14,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
MESIVTA TIFERES RAV ZVI ARYEH ZE,31,PASSAIC,29,30,31,26,116,0,0,0,0,116,11,11,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
BAIS YAAKOV OF PASSAIC HIGH SCHOOL,31,PASSAIC,71,54,46,37,208,0,0,0,0,208,11,19,All-Female,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
PATERSON CATHOLIC HIGH SCHOOL,31,PASSAIC,62,70,65,106,303,0,1,135,155,2,23,13,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
AL-HUDA SCHOOL,31,PASSAIC,9,8,6,5,116,0,14,6,9,69,12,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
MATHENY SCHOOL,35,SOMERSET,2,4,10,30,74,0,1,7,12,54,16,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Kingergarten
THE PENNINGTON SCHOOL,21,MERCER,89,104,95,100,485,0,4,8,28,217,89,5,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Grade 6
BISHOP EUSTACE PREP SCHOOL,7,CAMDEN,193,219,185,185,782,-1,-1,-1,-1,-1,55,14,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
CRESCENT HILL ACADEMY,7,CAMDEN,-1,-1,-1,-1,31,0,1,15,4,11,8,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
JDT CHRISTIAN ACADEMY,7,CAMDEN,-1,1,2,2,26,0,0,2,18,4,11,2,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Pre-K
SALEM COUNTY CHRISTIAN ACADEMY,33,SALEM,9,9,8,8,110,0,1,3,4,90,19,5,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
TIMOTHY CHRISTIAN SCHOOL,23,MIDDLESEX,47,52,57,63,546,0,62,24,129,276,57,10,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Kingergarten
AN-NOOR ACADEMY & DARUL HUDA INS,23,MIDDLESEX,7,-1,2,1,197,-1,-1,-1,-1,-1,25,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Pre-K
KOINONIA ACADEMY,39,UNION,21,20,22,23,213,-1,-1,-1,-1,-1,22,10,Coed,Regular elementary or secondary,Combined elementary and secondary,Catholic,No,Grade 12,Kingergarten
CHANCELLOR ACADEMY,27,MORRIS,12,30,28,31,108,0,1,20,9,78,34,3,Coed,Alternative,Secondary,Other religious,Yes,Grade 12,Grade 7
PURNELL SCHOOL,35,SOMERSET,11,30,31,22,94,0,6,2,8,78,18,5,All-Female,Regular elementary or secondary,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
PRINCETON DAY SCHOOL,21,MERCER,104,94,97,88,919,310,38,26,73,456,111,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
EDEN INSTITUTE,21,MERCER,-1,-1,-1,-1,55,0,11,3,1,40,11,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
PRINCETON CHILD DEVELOPMENT INST,21,MERCER,-1,-1,-1,-1,27,0,3,0,1,23,5,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
THE HUN SCHOOL OF PRINCETON,21,MERCER,100,108,107,103,500,2,50,10,37,401,90,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 6
STUART COUNTRY DAY SCHOOL,21,MERCER,36,35,30,33,488,0,30,24,42,268,70,6,All-Female,Regular elementary or secondary,Combined elementary and secondary,Catholic,Yes,Grade 12,Pre-K
DON BOSCO PREP HIGH SCHOOL,3,BERGEN,217,236,218,202,873,2,37,41,39,749,63,14,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
RED BANK CATHOLIC HIGH SCHOOL,25,MONMOUTH,275,258,261,240,1034,4,38,16,32,928,82,13,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
WEST SIDE CHRISTIAN ACADEMY,25,MONMOUTH,1,1,-1,1,33,0,0,4,27,2,4,8,Coed,Alternative,Combined elementary and secondary,Other religious,Yes,Grade 12,Kingergarten
ST AUGUSTINE PREPARATORY SCHOOL,1,ATLANTIC,193,166,181,153,693,0,15,15,26,627,53,13,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
HOLMSTEAD SCHOOL,3,BERGEN,3,20,22,30,77,0,0,3,3,71,15,5,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 8
SAGE DAY AT ROCHELLE PARK,3,BERGEN,16,26,24,23,89,0,2,1,3,83,13,7,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 9
ROSELLE CATHOLIC HIGH SCHOOL,39,UNION,137,130,149,156,572,0,25,121,141,251,45,13,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
ST MARY HIGH SCHOOL,3,BERGEN,79,73,79,70,301,0,34,70,22,171,25,12,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
SADDLE RIVER DAY SCHOOL,3,BERGEN,31,36,28,45,273,0,16,14,17,221,42,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Kingergarten
UNION CATHOLIC REGIONAL HIGH SCHOOL,39,UNION,170,187,198,203,758,3,48,163,127,330,52,15,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
GLOUCESTER COUNTY CHRISTIAN SCHOOL,15,GLOUCESTER,31,31,43,31,368,0,15,13,32,294,18,20,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
BETHEL PREPARATORY BIBLICAL-CLAS,15,GLOUCESTER,6,3,-1,-1,141,0,2,10,14,115,12,11,Coed,Alternative,Combined elementary and secondary,Other religious,Yes,Grade 10,Kingergarten
ARCHWAY PROGRAM/WASHINGTON TOWNS,15,GLOUCESTER,3,1,-1,-1,50,0,0,5,23,22,7,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 10,Grade 1
HOLLYDELL SCHOOL,15,GLOUCESTER,-1,-1,-1,-1,79,0,2,10,11,56,10,8,Coed,Alternative,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
ROCK BROOK SCHOOL INC,35,SOMERSET,-1,-1,-1,-1,45,0,5,3,7,30,6,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
RUTGERS PREPARATORY SCHOOL,35,SOMERSET,76,85,92,85,681,-1,-1,-1,-1,-1,102,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
SOMERSET BIBLE BAPTIST CHRISTIAN,35,SOMERSET,5,4,1,1,56,0,4,9,3,36,6,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Kingergarten
NEW ROAD SCHOOL OF SOMERSET,35,SOMERSET,15,28,28,102,179,0,0,38,55,84,17,10,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 7
IMMACULATA HIGH SCHOOL,35,SOMERSET,211,204,228,203,846,0,41,48,21,714,77,11,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
CARDINAL MCCARRICK HIGH SCHOOL,23,MIDDLESEX,65,74,100,89,328,0,8,63,33,216,26,13,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
MARYLAWN OF THE ORANGES ACADEMY,13,ESSEX,40,40,40,40,160,0,4,8,145,3,22,7,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
DARUL ARQAM SCHOOL,23,MIDDLESEX,16,6,3,-1,301,-1,-1,-1,-1,-1,19,12,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 11,Pre-K
MOSHE AARON YESHIVA HIGH SCHOOL,23,MIDDLESEX,23,28,32,36,119,0,0,0,0,119,22,5,Coed,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
POPE JOHN XXIII HIGH SCHOOL,37,SUSSEX,217,257,236,194,916,0,4,23,11,840,66,14,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 8
VERITAS CHRISTIAN ACADEMY,37,SUSSEX,18,28,10,15,71,0,3,0,1,67,7,11,Coed,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
WILLOWGLEN ACADEMY,37,SUSSEX,17,19,18,32,101,0,0,16,28,57,22,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 2
STRATFORD CLASSICAL CHRISTIAN AC,7,CAMDEN,3,1,-1,-1,118,2,5,21,60,30,15,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 10,Kingergarten
AMERICAN CHRISTIAN SCHOOL,27,MORRIS,2,-1,-1,-1,157,0,17,14,14,92,11,13,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 9,Pre-K
ORATORY PREPARATORY SCHOOL,39,UNION,58,55,52,46,259,0,6,11,13,213,28,9,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 7
OAK KNOLL SCHOOL OF THE HOLY CHI,39,UNION,64,52,63,58,550,0,12,15,22,501,81,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Catholic,Yes,Grade 12,Kingergarten
SINAI SCHOOL AT MA'AYANOT,3,BERGEN,-1,-1,-1,-1,2,0,0,0,0,2,2,1,All-Female,Special Education,Combined elementary and secondary,Other religious,No,All Ungraded,All Ungraded
IEF-AL-GHAZALY HIGH SCHOOL,3,BERGEN,46,45,41,36,261,0,132,51,1,77,25,10,Coed,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 7
KARASICK SHALEM HIGH SCHOOL AT T,3,BERGEN,3,3,3,2,11,0,0,0,0,11,3,3,All-Male,Special Education,Secondary,Other religious,No,Grade 12,Grade 9
COMMUNITY HIGH SCHOOL,3,BERGEN,40,40,40,40,160,0,3,23,22,112,60,3,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
TORAH ACADEMY OF BERGEN COUNTY,3,BERGEN,54,74,80,38,246,0,0,0,0,246,24,10,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
RANNEY SCHOOL,25,MONMOUTH,52,63,57,56,817,9,158,6,15,554,89,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
DOROTHY B HERSH HIGH SCHOOL,25,MONMOUTH,1,-1,9,11,21,0,1,5,5,10,4,5,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 9
OAKWOOD SCHOOL,25,MONMOUTH,10,5,11,15,43,0,0,4,4,35,8,5,All-Male,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 8
THE TITUSVILLE ACADEMY,21,MERCER,6,8,7,10,60,0,0,2,38,19,12,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 2
THE STUDIO FOR EXPERIENTIAL LEAR,21,MERCER,1,1,5,1,12,0,0,0,3,9,3,4,Coed,Alternative,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 2
MONSIGNOR DONOVAN HIGH SCHOOL,29,OCEAN,225,215,223,225,888,-1,-1,-1,-1,-1,-1,-1,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
OCEAN COUNTY CHRISTIAN ACADEMY,29,OCEAN,6,6,7,6,107,0,17,7,7,62,14,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
ISLAMIC SCHOOL OF TRENTON/AL-BAY,21,MERCER,1,-1,-1,-1,42,0,23,0,5,0,9,4,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 9,Pre-K
THE GARVEY SCHOOL,21,MERCER,5,2,1,-1,39,0,0,0,32,0,11,3,Coed,Special program emphasis,Combined elementary and secondary,Nonsectarian,Yes,Grade 11,Pre-K
THE BRIDGE ACADEMY,21,MERCER,-1,-1,-1,-1,65,0,6,7,12,40,20,3,Coed,Special program emphasis,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
COASTAL LEARNING CENTER,29,OCEAN,2,2,4,16,42,0,0,7,23,12,5,8,Coed,Alternative,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 4
DERON SCHOOL 1,39,UNION,-1,-1,-1,-1,105,0,5,23,76,1,17,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
LEARNING INSTITUTE OF UNION CITY,17,HUDSON,7,7,8,9,175,0,0,0,0,165,21,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
MIFTAAHUL ULOOM SCHOOL,17,HUDSON,12,15,8,14,185,0,13,5,9,110,23,7,Coed,Montessori,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
